Disease,Text Pattern
acid_reflux,I've been having trouble sleeping because of the pain
acid_reflux,My chest feels heavy and uncomfortable
acid_reflux,I feel like i have a rock in my stomach
acid_reflux,I'm afraid to eat because of the pain that follows
acid_reflux,It's like my food is coming back to haunt me
acid_reflux,I feel like my throat is on fire
acid_reflux,I get this sharp pain in my chest randomly
acid_reflux,I feel like my food is rotting in my stomach
acid_reflux,I have this persistent cough that won't go away
acid_reflux,I feel like my chest is being squeezed
acid_reflux,I'm always tired and fatigued
acid_reflux,My mouth tastes like acid all the time
acid_reflux,I have this constant feeling of heartburn
acid_reflux,I have to eat very slowly to avoid discomfort
acid_reflux,I'm always reaching for antacids
acid_reflux,I feel like my food is stuck in my throat
acid_reflux,I feel like there's a volcano in my chest
acid_reflux,I feel like my stomach is churning all the time
acid_reflux,"I have this sharp, stabbing pain in my chest"
acid_reflux,I feel like i have a constant knot in my chest
acid_reflux,I feel like my insides are burning
acid_reflux,I'm afraid to eat anything too spicy or acidic
acid_reflux,I feel like there's a hole in my chest
acne,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.
acne,I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive.
acne,"My skin has been breaking out in a terrible rash lately. Blackheads and pus-filled pimples abound on it. Additionally, my skin has been scurring a lot."
acne,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot."
acne,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.
acne,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.
acne,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
acne,"I recently experienced a severe skin rash. Blackheads and pimples filled with pus are clogging it. Additionally, my skin has been quite irritated."
acne,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.
acne,Lately I've been experiencing a skin rash with a lot of pus-filled pimples and blackheads. My skin has also been scurring a lot.
acne,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
acne,My skin has now developed a revolting rash. There are pus-filled pimples and blackheads everywhere. My skin has also been really sensitive.
acne,"My skin has developed a horrible rash. There are blackheads and pus-filled pimples everywhere. Furthermore, my skin has been exceedingly sensitive."
acne,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
acne,My skin has simply nonheritable a nasty rash. It's packed with pus-filled pimples and blackheads. My skin has been very sensitive moreover.
acne,"My skin has developed a terrible rash that is not inherited. It has a lot of blackheads and pus-filled pimples. Furthermore, my skin has been exceedingly sensitive."
acne,"Recently, I've been experiencing a lot of acne breakouts with pimples that contain pus. I've also been struggling with blackheads."
acne,I woke up this morning and found that I have a really nasty rash all over my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,I've been noticing a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,I woke up this morning to find a really nasty rash on my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
acne,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.
acne,I recently had a horrible rash on my skin. There are several blackheads and pus-filled pimples. My skin has also been moving around a lot.
acne,"This morning when I woke up, I discovered that I have an extremely bad rash all over my body. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
acne,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
acne,I've just developed a skin rash with several pus-filled pimples and blackheads. My skin has also been quite sensitive.
acne,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
acne,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changingÂ a lot."
acne,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurringÂ a lot."
acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying about.
acne,I awoke this morning to see a horrible rash on my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
acne,"This morning when I woke up, I discovered an extremely bad rash on my skin. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
acne,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurringÂ a lot.
acne,"This morning, I realized that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
acne,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
acne,"I woke up this morning to find that I had a major rash all over my body. It's covered in pus-filled pimples and blackheads, and my skin has been scurrying a lot"
acne,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
acne,"I discovered that I had a significant rash all over my body this morning. Blackheads and pus-filled pimples are proliferating, and my skin has been scurrying a lot."
acne,"Yesterday, I noticed an enormous rash all over my skin. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
acne,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot."
acne,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive."
acne,"My skin has merely developed an uninherited rash. It has a lot of pus-filled pimples and blackheads. Furthermore, my skin has been quite sensitive."
acne,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot."
acne,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
acne,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
acne,I've recently been dealing with an itching rash on my skin. It's covered in pus-filled pimples and blackheads. My skin has also been quite sensitive.
allergic_reaction,My face swells up like a balloon whenever i eat nuts
allergic_reaction,It feels like my skin is on fire after coming into contact with latex gloves
allergic_reaction,"Whenever i'm around cats, my eyes get watery and itchy"
allergic_reaction,My throat closes up when i eat shellfish
allergic_reaction,I get hives all over my body whenever i use a certain lotion
allergic_reaction,My lips tingle and swell whenever i have strawberries
allergic_reaction,My nose gets so stuffy and sneezy around pollen
allergic_reaction,My hands break out in a rash whenever i touch certain plants
allergic_reaction,"After eating dairy, my stomach cramps and i break out in hives"
allergic_reaction,I feel dizzy and nauseous whenever i'm exposed to strong perfumes
allergic_reaction,My tongue swells up after eating certain fruits
allergic_reaction,I get itchy and red patches on my skin after using scented laundry detergent
allergic_reaction,My eyes get puffy and red after being around cigarette smoke
allergic_reaction,I break out in hives whenever i wear clothes washed with a specific detergent
allergic_reaction,My throat gets scratchy and tight when i'm near mold
allergic_reaction,I get a rash on my hands from handling certain metals
allergic_reaction,My ears itch and swell up when i wear earrings made of nickel
allergic_reaction,I feel like i can't breathe properly after being around dogs
allergic_reaction,My skin burns and itches after using a particular brand of sunscreen
allergic_reaction,My lips blister and swell after eating spicy foods
allergic_reaction,"Every time i touch peanuts, my skin gets red and itchy"
allergic_reaction,I get stomach cramps and diarrhea after consuming gluten
allergic_reaction,My eyes get swollen and itchy around dust
allergic_reaction,"After using a new skincare product, my face breaks out in hives"
allergic_reaction,My throat feels scratchy and tight after eating raw fruits and veggies
allergic_reaction,I get a rash on my arms from wearing certain fabrics
allergic_reaction,My skin gets red and inflamed after using scented candles
allergic_reaction,I feel lightheaded and nauseous around strong cleaning chemicals
allergic_reaction,My lips itch and swell after using a specific brand of lip balm
allergic_reaction,"Every time i'm near peanuts, my chest tightens up"
allergic_reaction,I break out in hives after being stung by a bee
allergic_reaction,My eyes water and itch around certain types of makeup
allergic_reaction,My skin gets red and bumpy after coming into contact with grass
allergic_reaction,I feel like my throat is closing after eating spicy foods
allergic_reaction,I get a rash on my face from using a new face cream
allergic_reaction,My hands swell up after handling seafood
allergic_reaction,My skin burns and itches after using scented body lotion
allergic_reaction,I feel dizzy and nauseous around cigarette smoke
allergic_reaction,My lips tingle and swell after eating shellfish
allergic_reaction,I break out in hives whenever i'm around strong perfumes
allergic_reaction,My eyes get puffy and itchy after being around pollen
allergic_reaction,"Every time i touch latex, my skin breaks out in a rash"
allergic_reaction,I feel like i can't breathe properly around cats
allergic_reaction,My throat gets tight and itchy after eating dairy
allergic_reaction,My skin gets red and itchy after wearing new jewelry
allergic_reaction,I get hives all over my body after using a certain shampoo
allergic_reaction,My lips blister and swell after being in the sun
allergic_reaction,I feel lightheaded and nauseous around mold
allergic_reaction,My eyes water and itch around pet dander
allergic_reaction,My skin gets red and inflamed after using a specific type of soap
allergic_rhinitis,"My nose won't stop running, and my eyes feel so itchy and watery"
allergic_rhinitis,"I sneeze nonstop, especially when i'm around dust or pollen"
allergic_rhinitis,I wake up every morning with a stuffy nose and a scratchy throat
allergic_rhinitis,"It feels like i have a constant cold  congestion, headache, the works"
allergic_rhinitis,"My sense of smell is completely gone, and everything tastes bland"
allergic_rhinitis,I can't focus at work because my head feels so foggy and congested
allergic_rhinitis,The back of my throat feels constantly irritated and sore
allergic_rhinitis,I have these awful sinus headaches that won't go away
allergic_rhinitis,My ears feel plugged up and i keep needing to pop them
allergic_rhinitis,"I feel so tired all the time, like my body is constantly fighting something"
allergic_rhinitis,"Every time i'm outdoors, my nose starts itching like crazy"
allergic_rhinitis,"My voice sounds all nasal and congested, and it's so frustrating"
allergic_rhinitis,I can't sleep well because i'm always waking up to blow my nose
allergic_rhinitis,"My eyes are red and puffy, and it's not from crying"
allergic_rhinitis,"I feel like i'm constantly sniffling, even when there's nothing to blow"
allergic_rhinitis,I have this annoying postnasal drip that just won't quit
allergic_rhinitis,"I feel like i'm in a fog all the time, like my brain is under a cloud"
allergic_rhinitis,"My chest feels tight and wheezy, like i can't catch my breath"
allergic_rhinitis,"I keep rubbing my itchy eyes, but nothing seems to relieve them"
allergic_rhinitis,My nose alternates between being stuffed up and running like a faucet
allergic_rhinitis,"I sneeze so violently, it hurts my chest and back"
allergic_rhinitis,"I'm constantly reaching for tissues, it's like my nose never stops dripping"
allergic_rhinitis,"My face feels so swollen and puffy, like i've been stung by bees"
allergic_rhinitis,I can't enjoy outdoor activities anymore because my allergies flare up
allergic_rhinitis,"I feel like i've got a neverending cold, with no relief in sight"
allergic_rhinitis,"My sinuses ache constantly, like a pressure building up in my head"
allergic_rhinitis,My throat is scratchy and hoarse from all the postnasal drip
allergic_rhinitis,"I keep coughing, but nothing seems to come up or go away"
allergic_rhinitis,"My eyes are so sensitive to light, it's like they're always squinting"
allergic_rhinitis,My nose feels raw and chapped from all the blowing and wiping
allergic_rhinitis,"I can't smell anything, not even strong scents like coffee or perfume"
allergic_rhinitis,"I feel so drained and fatigued, like my body is working overtime"
allergic_rhinitis,I get these sudden sneezing fits that come out of nowhere
allergic_rhinitis,My whole face feels inflamed and tender to the touch
allergic_rhinitis,"I'm always congested, even when i wake up in the middle of the night"
allergic_rhinitis,"My eyes are so dry and itchy, like there's sand stuck in them"
allergic_rhinitis,My allergies make me feel so irritable and on edge all the time
allergic_rhinitis,I can't concentrate on anything because my head feels so heavy
allergic_rhinitis,"I'm constantly wiping a runny nose, it's like a leaky faucet"
allergic_rhinitis,"My ears feel like they need to pop, but they never do"
allergic_rhinitis,"My face feels so hot and flushed, like i have a fever"
allergic_rhinitis,"I'm always sniffling, and it's embarrassing in public"
allergic_rhinitis,"My throat feels sore and scratchy, like i swallowed sandpaper"
allergic_rhinitis,I keep waking up with a headache that won't go away
allergic_rhinitis,"My nose feels so sensitive, even mild scents make me sneeze"
allergic_rhinitis,"I'm always rubbing my itchy, watery eyes, it's so frustrating"
allergic_rhinitis,"My nose feels completely blocked, like there's a wall inside"
allergic_rhinitis,I feel like i'm in a constant state of sniffing and sneezing
allergic_rhinitis,"My nose feels so itchy inside, like there's a tickle i can't scratch"
allergic_rhinitis,"I'm always reaching for my inhaler, my chest feels so tight and wheezy"
allergy_(mild),My nose gets so itchy and runny whenever spring comes around
allergy_(mild),"Every time i eat nuts, my throat starts to feel tight and itchy"
allergy_(mild),"I notice red, itchy patches on my skin after touching certain plants"
allergy_(mild),My eyes get so watery and swollen whenever i'm near cats
allergy_(mild),Dairy makes me feel bloated and uncomfortable
allergy_(mild),I sneeze nonstop whenever there's dust in the air
allergy_(mild),My lips start tingling and swelling after eating shellfish
allergy_(mild),Grass pollen always leaves me with a scratchy throat
allergy_(mild),I get hives whenever i'm exposed to extreme temperatures
allergy_(mild),Something in perfumes always makes my skin break out in a rash
allergy_(mild),Dust mites trigger my asthma symptoms
allergy_(mild),I feel nauseous and dizzy after eating gluten
allergy_(mild),My ears get itchy and clogged whenever i'm around cigarette smoke
allergy_(mild),My mouth becomes itchy and swollen when i eat certain fruits
allergy_(mild),Pollen makes my eyes so itchy and red
allergy_(mild),My fingers swell up after handling certain metals
allergy_(mild),I get short of breath around strong chemical odors
allergy_(mild),My skin becomes inflamed and itchy after using scented lotions
allergy_(mild),I get a headache every time i'm around strong perfumes
allergy_(mild),My throat feels scratchy and tight after eating spicy foods
allergy_(mild),My eyes get so puffy and irritated around campfires
allergy_(mild),I break out in hives after taking certain medications
allergy_(mild),My nose gets stuffy when i'm around mold
allergy_(mild),I develop a cough and wheezing after being around pet dander
allergy_(mild),Certain fabrics make my skin feel itchy and irritated
allergy_(mild),I get a rash whenever i wear jewelry with nickel
allergy_(mild),My lips swell up after eating certain spices
allergy_(mild),I get stomach cramps and diarrhea after consuming dairy
allergy_(mild),My skin gets red and itchy from using scented laundry detergent
allergy_(mild),I develop a sore throat after being around cigarette smoke
allergy_(mild),My eyes water and itch when i'm near freshly cut grass
allergy_(mild),I feel lightheaded and dizzy after smelling strong cleaning products
allergy_(mild),My face gets red and flushed after drinking alcohol
allergy_(mild),I get a headache and feel fatigued after eating processed foods
allergy_(mild),My skin becomes irritated and inflamed from sunlight exposure
allergy_(mild),I develop hives after being bitten by certain insects
allergy_(mild),My throat tightens after eating peanuts
allergy_(mild),I feel nauseous and bloated after eating onions
allergy_(mild),My skin becomes red and itchy from using scented body wash
allergy_(mild),I sneeze and cough around certain types of flowers
allergy_(mild),My eyes become swollen and itchy after using certain makeup products
allergy_(mild),I get a runny nose and sneezing fits around pet hair
allergy_(mild),My skin breaks out in a rash after coming into contact with latex
allergy_(mild),I feel dizzy and nauseous after inhaling paint fumes
allergy_(mild),My throat feels scratchy and dry after being in airconditioned rooms
allergy_(mild),I develop hives after eating certain berries
allergy_(mild),My lips tingle and swell after eating certain nuts
allergy_(mild),I get a headache and feel fatigued when exposed to cigarette smoke
allergy_(mild),My skin becomes red and inflamed after using scented candles
allergy_(mild),I start coughing and wheezing around strong floral scents
amoebiasis,"Doctor, i've been having severe stomach cramps and diarrhea for days"
amoebiasis,"I feel constantly tired and weak, and my stool has blood in it"
amoebiasis,"My appetite has disappeared, and i have this persistent, gnawing pain in my abdomen"
amoebiasis,"I've been experiencing intense nausea and vomiting, along with a high fever"
amoebiasis,"My stomach feels bloated and gassy, and i can't seem to shake off this feeling of unease"
amoebiasis,"I have this strange metallic taste in my mouth, and everything i eat makes me feel sick"
amoebiasis,"Doctor, i've lost a lot of weight suddenly, and i'm worried about what's happening to me"
amoebiasis,"I've been running to the bathroom every few hours, and it's really disrupting my life"
amoebiasis,"I feel like i can't trust my digestion anymore, as it's been so unpredictable and uncomfortable"
amoebiasis,"My skin looks pale and sallow, and i just don't feel like myself at all"
amoebiasis,"I've been sweating profusely at night, and i wake up feeling drained and dehydrated"
amoebiasis,"I've noticed mucus in my stool, and it's making me anxious about my health"
amoebiasis,"Doctor, my joints ache, and i feel like my body is fighting some invisible enemy"
amoebiasis,"I've been having these intense, sharp pains in my lower abdomen, and it's really worrying me"
amoebiasis,"My stools are alternating between watery and solid, and it's confusing and distressing"
amoebiasis,"I feel like i have a constant lump in my throat, and i can't swallow properly"
amoebiasis,"I've been having these frequent, urgent bowel movements, and it's taking a toll on me"
amoebiasis,"Doctor, i'm experiencing a burning sensation in my stomach, and it's unbearable at times"
amoebiasis,I can't concentrate at work because i'm constantly running to the bathroom
amoebiasis,"My belly feels so tender and sore to the touch, and i'm scared to eat anything"
amoebiasis,"I've been having these intense headaches, and i feel like my body is under siege"
amoebiasis,"Doctor, i've been feeling dizzy and lightheaded, and it's making me anxious"
amoebiasis,"I've been burping a lot, and it tastes sour and acidic"
amoebiasis,"My stomach makes these strange gurgling noises, and it's embarrassing in public"
amoebiasis,"I feel like i'm in a fog all the time, and i just can't seem to shake it off"
amoebiasis,"Doctor, i have this constant urge to go to the toilet, and it's exhausting"
amoebiasis,"I've lost my appetite completely, and even the thought of food makes me queasy"
amoebiasis,"I feel so weak and fatigued, like my body is shutting down on me"
amoebiasis,"I've been experiencing chills and cold sweats, and it's really unsettling"
amoebiasis,"My abdomen feels distended and uncomfortable, like there's something trapped inside"
amoebiasis,"I've been having these vivid, disturbing dreams, and i wake up feeling drained"
amoebiasis,"Doctor, i've been feeling so irritable and on edge, and i don't know why"
amoebiasis,"I've been getting these shooting pains in my abdomen, and they're really sharp"
amoebiasis,"I feel like i'm constantly on the verge of throwing up, and it's terrifying"
amoebiasis,"My mouth feels dry and parched all the time, no matter how much water i drink"
amoebiasis,"I've been having these muscle aches all over my body, and i can't explain them"
amoebiasis,"I feel so bloated and uncomfortable after eating, like my stomach is rebelling"
amoebiasis,"Doctor, i've been having these strange, vivid hallucinations, and i'm scared"
amoebiasis,"I've been feeling so cold all the time, like i can't get warm no matter what"
amoebiasis,"I've been having these intense mood swings, and i can't control my emotions"
amoebiasis,"My skin feels clammy and cold to the touch, and it's really unsettling"
amoebiasis,"I've been having these intense sugar cravings, and i can't seem to satisfy them"
amoebiasis,"I feel like my body is burning up from the inside out, and it's terrifying"
amoebiasis,"Doctor, i've been having these sharp, stabbing pains in my abdomen, and they're unbearable"
amoebiasis,"I feel like i'm carrying a lead weight in my stomach, and it's dragging me down"
amoebiasis,"I've been having these intense, throbbing headaches, and they won't go away"
amoebiasis,"I feel like i have a constant lump in my throat, and it's making it hard to swallow"
amoebiasis,"Doctor, i'm experiencing a burning sensation in my chest, and it's really uncomfortable"
amoebiasis,"I feel so bloated and gassy all the time, like i can't digest anything properly"
amoebiasis,"I've been having these intense, shooting pains in my lower back, and it's really concerning"
amputation,"I can still feel pain in my missing limb, like it's still there"
amputation,"I get phantom sensations, tingling, and even cramps in the amputated area"
amputation,"The skin on my residual limb is so sensitive to touch, it's unbearable at times"
amputation,I keep feeling like my missing hand is clenched into a fist
amputation,"There are days when the phantom limb feels heavy, like a weight pulling me down"
amputation,I feel like my amputated leg is stuck in an uncomfortable position
amputation,"It's like my toes are curling in pain, but they're not even there"
amputation,I get shooting pains that travel from my missing limb to my real one
amputation,"My phantom limb feels cold and numb, almost like it's frozen"
amputation,"Sometimes, i swear i can wiggle my toes, but they're gone"
amputation,The burning sensation in my phantom limb is excruciating
amputation,"I feel like my missing arm is constantly itching, but scratching does nothing"
amputation,I get sharp stabbing pains in the space where my leg used to be
amputation,"My phantom limb feels twisted and contorted, like it's in an unnatural position"
amputation,I have this constant throbbing sensation in my amputated limb
amputation,"It's like my phantom hand is clenched in a tight fist, and i can't release it"
amputation,My missing foot feels like it's being crushed in a vice
amputation,I feel like my amputated arm is being squeezed tightly by a band
amputation,"Numbness spreads from where my leg ends, but the sensation is still there"
amputation,"My phantom limb feels swollen and heavy, like it's filled with fluid"
amputation,I feel like my missing fingers are cramped and bent at odd angles
amputation,"The electric shocks in my phantom limb are so intense, it's hard to bear"
amputation,I keep getting shooting pains that radiate from my amputated hand
amputation,"The phantom limb feels like it's vibrating, like a constant buzzing sensation"
amputation,I feel like my missing arm is being twisted and pulled in different directions
amputation,"The intense itching in my phantom limb is maddening, nothing helps"
amputation,I experience a constant dull ache in the space where my leg used to be
amputation,It's as if my phantom hand is being crushed in a vicelike grip
amputation,I feel like my amputated foot is being crushed under a heavy weight
amputation,"My phantom limb feels like it's on fire, burning with pain"
amputation,I keep sensing my missing fingers twitching and moving involuntarily
amputation,The sharp stabbing pains in my phantom limb are unbearable
amputation,My amputated arm feels like it's being twisted and contorted
amputation,I experience a throbbing pain that pulses from my missing leg
amputation,"It's like my phantom hand is stuck in a tight, unyielding grip"
amputation,My missing foot feels like it's being squeezed tightly in a vice
amputation,I feel like my amputated fingers are tingling and numb
amputation,"The phantom limb feels cold and icy, sending shivers down my spine"
amputation,I get shooting pains that shoot from my missing hand to my shoulder
amputation,My phantom limb feels like it's vibrating with a buzzing sensation
amputation,I feel like my missing arm is being twisted and pulled in different directions
amputation,"The intense itching in my phantom limb is unbearable, nothing relieves it"
amputation,I experience a constant dull ache in the space where my leg used to be
amputation,It's as if my phantom hand is being crushed in a vicelike grip
amputation,I feel like my amputated foot is being crushed under a heavy weight
amputation,"My phantom limb feels like it's on fire, burning with unbearable pain"
amputation,I keep sensing my missing fingers twitching and moving involuntarily
amputation,The sharp stabbing pains in my phantom limb are excruciating
amputation,My amputated arm feels like it's being twisted and contorted
amputation,I experience a throbbing pain that pulses from my missing leg
anaphylaxis,My throat felt like it was closing up
anaphylaxis,My skin broke out in hives all over
anaphylaxis,I couldn't stop itching and scratching
anaphylaxis,My chest felt really tight and it was hard to breathe
anaphylaxis,My lips and tongue started swelling
anaphylaxis,I felt dizzy and lightheaded all of a sudden
anaphylaxis,I got really nauseous and started vomiting
anaphylaxis,My heart was racing and i felt like passing out
anaphylaxis,My stomach was cramping so badly
anaphylaxis,I had this overwhelming sense of impending doom
anaphylaxis,I broke out in a cold sweat and felt clammy
anaphylaxis,My eyes were itching and watering uncontrollably
anaphylaxis,I had trouble swallowing and felt a lump in my throat
anaphylaxis,I felt like my body was on fire with a burning sensation
anaphylaxis,My nose was running and i couldn't stop sneezing
anaphylaxis,I had a sudden onset of anxiety and restlessness
anaphylaxis,I felt a sharp pain in my abdomen
anaphylaxis,I had a metallic taste in my mouth
anaphylaxis,My hands and feet started tingling and going numb
anaphylaxis,I felt like my skin was on fire and flushed
anaphylaxis,My voice became hoarse and raspy
anaphylaxis,I had a throbbing headache that wouldn't go away
anaphylaxis,I felt like i was suffocating and couldn't catch my breath
anaphylaxis,I became extremely thirsty and couldn't quench it
anaphylaxis,My joints started swelling and aching
anaphylaxis,I had a feeling of impending doom that i couldn't shake
anaphylaxis,I felt like i was going to faint any moment
anaphylaxis,My body broke out in a cold sweat
anaphylaxis,I had a sudden onset of extreme fatigue
anaphylaxis,My ears started ringing and i couldn't hear properly
anaphylaxis,I felt a sharp pain in my chest like something was crushing it
anaphylaxis,I had a sudden drop in blood pressure and felt dizzy
anaphylaxis,I felt like i was burning up from the inside out
anaphylaxis,My face turned red and felt hot to the touch
anaphylaxis,I had trouble focusing and felt disoriented
anaphylaxis,I felt like i was floating and disconnected from reality
anaphylaxis,My body started shaking uncontrollably
anaphylaxis,I felt like i was going to lose consciousness
