Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11
kidney_stone,Severe pain in the lower back or side,Pain that radiates to the groin or lower abdomen,"Pink, red, or brown urine (blood in urine)",Frequent urination,Nausea and vomiting,Fever and chills (if infection develops),,,,,
laceration,Pain at the injury site,Bleeding,Swelling,Redness or inflammation around the wound,Tenderness,"Risk of infection (discharge, pus, or increased redness if untreated)",,,,,
lice_infestation,"Intense itching (especially on the scalp, neck, or behind the ears)",Tickling or crawling feeling in the hair,Presence of lice eggs (nits) attached to hair shafts,Red bumps on the scalp or neck,Sores from scratching,,,,,,
low_blood_pressure,Dizziness,Lightheadedness,Fainting,Blurred vision,Fatigue,Nausea,"Cold, clammy skin","Rapid, shallow breathing (in severe cases)",,,
malaria,High fever,Chills,Sweating,Headache,Muscle pain,Fatigue,Nausea and vomiting,Diarrhea (in some cases),Anemia (in severe cases),,
measles,High fever,Cough,Runny nose,"Red, watery eyes (conjunctivitis)",White spots inside the mouth (Koplik spots),"Red, blotchy skin rash that starts on the face and spreads to the rest of the body",Fatigue,Body aches,,,
meningitis,Severe headache,Stiff neck,Sensitivity to light (photophobia),Nausea,Vomiting,Fever,Confusion or difficulty concentrating,Seizures (in severe cases),Fatigue or drowsiness,,
migraine,Throbbing or pulsating headache (usually on one side),Sensitivity to light and sound,Nausea,Vomiting,Aura (visual disturbances like flashes of light or blind spots),Fatigue,Dizziness,Tingling or numbness,,,
minor_bruise,Discoloration of the skin (blue or purple),Pain or tenderness at the affected site,Swelling,Stiffness in nearby muscles or joints,Skin turns yellow or green as the bruise heals,No broken skin or bleeding,,,,,
mononucleosis,Fatigue,Sore throat,Swollen lymph nodes (especially in the neck),Fever,Swollen tonsils,Headache,Muscle aches,Rash (in some cases),Enlarged spleen or liver (in severe cases),,
motion_sickness,Nausea,Vomiting,Dizziness,Sweating,Lightheadedness,Fatigue,Pale skin,Headache,,,
mumps,Swelling of the salivary glands (especially jaw and cheeks),Fever,Headache,Muscle aches,Fatigue,Loss of appetite,Pain while chewing or swallowing,,,,
nausea,Feeling of queasiness or unease in the stomach,Urge to vomit,Sweating,Dizziness,Loss of appetite,Fatigue,,,,,
nosebleed,Bleeding from one or both nostrils,Feeling of liquid flowing down the throat (if posterior nosebleed),Dryness or crusting inside the nose (common trigger),Dizziness or fatigue (if severe blood loss),,,,,,,
osteoarthritis,Joint pain,Stiffness (especially in the morning),Swelling around the joint,Decreased range of motion,"Grinding sensation or ""bone-on-bone"" feeling",Tenderness to touch,Joint deformities (in advanced cases),,,,
peptic_ulcer,Burning stomach pain (often occurring between meals or at night),Nausea,Bloating,Loss of appetite,Weight loss,Vomiting (sometimes with blood),"Dark, tarry stools (in severe cases)",,,,
perioral_dermatitis,Red rash around the mouth,Small bumps or pustules,Itching (mild or absent),Burning or stinging sensation,Dry or flaky skin,Slight swelling (in some cases),,,,,
pertussis,Severe coughing fits,"""Whooping"" sound during coughing",Vomiting after coughing fits,Fatigue,Runny nose,Mild fever (during early stage),Shortness of breath,,,,
pink_eye,Redness in the white of the eye,Watery or thick discharge,Itching,Gritty sensation in the eye,Swollen eyelids,Sensitivity to light,Crusting of eyelashes in the morning,,,,
pneumonia,Cough (may produce green/yellow or blood-tinged mucus),Fever,Chills,Shortness of breath,Chest pain (especially during breathing or coughing),Fatigue,Loss of appetite,Rapid or shallow breathing,,,
poisoning,Nausea,Vomiting,Abdominal pain,Confusion,Dizziness,Difficulty breathing (in severe cases),Weak pulse,Unconsciousness (in severe poisoning),,,
psoriasis,"Red, raised patches of skin covered with silvery scales",Itching or burning sensation in affected areas,Dry or cracked skin that may bleed,Joint pain (in psoriatic arthritis cases),Thickened or discolored nails,,,,,,
puncture_wound,Small entry hole in the skin,Bleeding (minor or severe depending on depth),Swelling around the wound,Redness or warmth (possible infection),Tenderness,Pus or discharge (if infection occurs),,,,,
rash,Redness of the skin,Itching,Swelling,Dryness,Small bumps or blisters (fluid-filled in some cases),Peeling or scaling (with chronic rashes),Crusting or oozing lesions (if severe),,,,
rhino-gonitis,Nasal congestion,Runny nose,Itchy eyes,Sneezing,Postnasal drip,Sinus pressure or headache,Cough (caused by postnasal drainage),,,,
rosacea,Facial redness (flushing),Visible blood vessels on the skin,Small red bumps or pustules,Burning or stinging sensation,"Dry, rough skin",Eye irritation (ocular rosacea),Thickened skin (in severe cases),,,,
rubella,Mild fever,Pink or red rash that starts on the face and spreads downward,Swollen lymph nodes (especially behind the ears and neck),Runny nose,Headache,Joint pain (in adults),"Red, inflamed eyes (conjunctivitis)",,,,
scabies,Intense itching (especially at night),"Thin, irregular burrow tracks on the skin",Red bumps or blisters in affected areas,"Dry, scaly patches",Skin inflammation from scratching,Secondary infections from open sores,,,,,
scald,Pain or burning sensation,Redness or swelling of the skin,Blisters (in moderate to severe burns),Peeling skin,White or charred skin (in severe cases),Increased sensitivity to touch,,,,,
scarlet_fever,High fever,Sore throat,Red rash with a sandpaper-like texture (starts on the chest and spreads),Strawberry tongue (red and bumpy),Swollen lymph nodes,Headache,Nausea or vomiting,,,,
scorpion_sting,"Sharp, stinging pain at the bite site",Swelling or redness,Numbness or tingling around the sting,Muscle twitching,Difficulty swallowing or breathing (in severe cases),Rapid heartbeat,Drooling,,,,
seizure,Sudden jerking movements or convulsions,Staring or loss of awareness,Loss of consciousness,Stiffening of muscles,Confusion or disorientation after the episode (postictal state),Biting of the tongue,Incontinence,,,,
shingles,Tingling or burning sensation on the skin,"Painful, red rash that develops into fluid-filled blisters",Sensitivity to touch,Fatigue,Headache,Fever,Itching as the rash heals,,,,
sinus_infection,Nasal congestion,Thick nasal discharge (yellow or green),"Facial pressure or pain (especially around the eyes, forehead, and cheeks)",Headache,Postnasal drip,Cough,Loss of smell or taste,Fever (in some cases),,,
snakebite,Immediate pain or swelling at the bite site,Fang marks,Redness or bruising around the bite,Nausea or vomiting,Difficulty breathing (in venomous bites),Blurred vision,Weakness or dizziness,,,,
spider_bite,Redness or swelling at the bite site,Pain,Itching or rash,Blistering or ulcer formation (in some cases),Muscle pain or cramping (for venomous bites),Fever or chills (if bite is infected),Fatigue,,,,
sprain,Pain at the injured joint,Swelling,Bruising,Limited range of motion,Tenderness,Popping or tearing feeling at the time of injury,Instability in the joint (in severe cases),,,,
stroke,Sudden numbness or weakness (especially on one side of the body),Drooping face on one side,Slurred speech or difficulty speaking,Confusion or disorientation,Loss of coordination or balance,Vision problems,Severe headache (often described as the worst headache ever),,,,
sudden_cardiac_arrest,Unresponsiveness,Absence of breathing,Lack of pulse,Sudden collapse,Possible chest pain or discomfort before collapse,,,,,,
sunburn,"Red, painful skin",Swelling in affected areas,Blisters (in severe sunburn),Peeling or flaking skin as it heals,Itching,Fever and chills (in severe cases),Nausea or dehydration,,,,
syphilis,Painless sore (chancre) at the site of infection (primary syphilis),Rash that starts on the hands and feet (secondary syphilis),Fever,Swollen lymph nodes,Fatigue,Muscle aches,Neurological symptoms (late stage or untreated cases),,,,
tetanus,"Muscle stiffness or spasms (often starting in the jaw, ""lockjaw"")",Difficulty swallowing,Stiffness in the neck and abdominal muscles,Painful body-wide spasms triggered by minor stimuli,Fever,Sweating,Rapid heartbeat,,,,
thermal_burn,Redness and pain (superficial burn),Blisters (partial-thickness burn),White or charred skin (full-thickness burn),Swelling around the burn site,Peeling skin,Loss of sensation in the affected area (in severe burns),,,,,
tick_bite,Redness or swelling at the bite site,Itching or irritation,Fever or chills (if an infection develops),Fatigue,Headache,"Rash (often in a ""bull's-eye"" pattern if Lyme disease occurs)",Swollen lymph nodes,,,,
tonsillitis,Sore throat,"Red, swollen tonsils",White patches or spots on the tonsils,Difficulty swallowing,Fever,Swollen lymph nodes in the neck,Bad breath,Ear pain,,,
trichomoniasis,"Vaginal discharge (frothy, greenish, or yellowish)",Itching or irritation in the genital area,Pain during urination or intercourse,"Discomfort or burning sensation (for men, it may be asymptomatic)",,,,,,,
typhoid_fever,"High, sustained fever",Weakness,Abdominal pain,Constipation or diarrhea,Loss of appetite,"Rash with flat, rose-colored spots",Confusion or delirium (in severe cases),,,,
urinary_tract_infection,Frequent urge to urinate,Pain or burning sensation during urination,Cloudy or strong-smelling urine,Blood in urine,Lower abdominal or pelvic pain,Fever or chills (in severe cases),Fatigue,,,,
varicose_veins,"Swollen, twisted veins (most commonly in the legs)",Aching or heaviness in the legs,Swelling in the lower legs and ankles,Itching around the veins,Skin discoloration (in severe cases),Cramping or throbbing pain,,,,,
vertigo,Spinning or dizziness sensation,Loss of balance,Nausea,Vomiting,Sweating,Headache,Ringing in the ears (tinnitus),,,,
yeast_infection,Itching or irritation in the vaginal area,"White, thick discharge (often described as resembling cottage cheese)",Redness or swelling around the area,Pain or burning during urination or intercourse,Cracking or soreness of the skin,,,,,,
